Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"FREE RADICAL BIOLOGY AND MEDICINE","FREE RADICAL BIO MED","0891-5849","1873-4596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.4","1.47","7.9"," 43/285 "," 34/315 "
"Science Signaling","SCI SIGNAL","1945-0877","1937-9145","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.3","1.33","7.8"," 44/285 "," 42/315 "
"Science Signaling","SCI SIGNAL","1945-0877","1937-9145","CELL BIOLOGY - SCIE","7.3","1.33","7.8"," 44/191 "," 36/203 "
"SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY","SEMIN CELL DEV BIOL","1084-9521","1096-3634","CELL BIOLOGY - SCIE","7.3","0.89","7.7"," 44/191 "," 72/203 "
"Wiley Interdisciplinary Reviews-RNA","WIRES RNA","1757-7004","1757-7012","CELL BIOLOGY - SCIE","7.3","0.77","8.2"," 44/191 "," 85/203 "
"Cold Spring Harbor Perspectives in Biology","CSH PERSPECT BIOL","1943-0264","1943-0264","CELL BIOLOGY - SCIE","7.2","1.35","13.1"," 47/191 "," 34/203 "
"APOPTOSIS","APOPTOSIS","1360-8185","1573-675X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.2","0.87","5.9"," 45/285 "," 94/315 "
"APOPTOSIS","APOPTOSIS","1360-8185","1573-675X","CELL BIOLOGY - SCIE","7.2","0.87","5.9"," 47/191 "," 74/203 "
"GENOME RESEARCH","GENOME RES","1088-9051","1549-5469","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7","1.8","11.8"," 46/285 "," 19/315 "
"Antioxidants","ANTIOXIDANTS-BASEL","N/A","2076-3921","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7","1.24","7.3"," 46/285 "," 48/315 "
"Cell Death Discovery","CELL DEATH DISCOV","N/A","2058-7716","CELL BIOLOGY - SCIE","7","0.92","6.6"," 49/191 "," 65/203 "
